,f,$(En)diff_{ab}$,$Fi_b$,$(En)diff_{cb}$,LUMO_character,LUMO_element,$Ce_a$,$R_b$,$D_b$,$Dp_b$,$Dp_a$,$o$,$(En)diff_{ca}$,0
67,-1,0.3400000000000001,652.9,0.9200000000000002,3,24,0.67,0.62,7.15,83.0,33.91,0.3369565217391304,0.5800000000000001,0
68,0,0.5699999999999998,760.4,1.56,3,27,1.51,0.61,8.86,55.0,71.2,0.4357142857142857,2.13,0
69,-2,0.84,652.9,0.9200000000000002,3,24,0.934,0.585,7.15,83.0,289.7,0.3179347826086956,1.7600000000000002,0
70,-1,0.61,658.8,1.9,3,22,1.113,0.64,4.54,100.0,162.7,0.4571428571428572,2.51,0
71,-1,0.2199999999999999,652.9,0.9200000000000002,1,24,4.39,0.62,7.15,83.0,55.0,0.3369565217391304,0.7000000000000002,0
72,-10,0.1299999999999999,558.3,0.8,2,16,4.44,0.8,7.31,65.0,49.0,0.4347826086956521,0.6700000000000002,0
73,2,0.1700000000000001,533.1,1.41,4,60,1.51,0.98,7.01,208.0,71.2,0.494949494949495,1.2399999999999998,1
74,2,0.07,589.3,1.3099999999999998,2,34,1.51,0.89,9.07,150.0,71.2,0.4494949494949495,1.2399999999999998,1
75,-1,0.3499999999999998,717.3,1.89,3,25,3.49,0.65,7.44,68.0,46.5,0.4642857142857143,1.54,0
76,-10,0.09,558.3,1.66,1,49,1.16,0.8,7.31,65.0,46.0,0.5714285714285715,1.75,0
77,-1,0.2899999999999998,745.5,1.54,3,29,3.39,0.635,8.96,46.5,57.8,0.4535714285714286,1.83,0
78,0,0.32,658.8,1.9,3,22,4.37,0.67,4.54,100.0,162.0,0.4785714285714286,2.22,0
79,-1,0.5899999999999999,719.7,1.16,3,45,1.16,0.67,12.4,66.0,46.0,0.4785714285714286,1.75,0
80,0,0.2299999999999999,658.8,1.9,3,22,1.51,0.67,4.54,100.0,71.2,0.4785714285714286,2.13,0
81,-1,0.6999999999999998,650.9,1.81,3,23,1.113,0.61,6.11,87.0,162.7,0.4357142857142857,2.51,1
82,0,0.2999999999999998,737.1,1.53,2,8,3.39,0.645,8.91,49.0,57.8,0.4607142857142857,1.83,0
83,-1,0.56,658.8,1.9,3,22,1.63,0.64,4.54,100.0,164.1125,0.4571428571428572,2.46,0
84,0,0.26,737.1,1.53,2,8,1.35,0.6,8.91,49.0,38.67,0.4285714285714286,1.79,0
85,-1,0.8500000000000001,684.3,1.2799999999999998,3,42,1.51,0.69,10.2,87.0,71.2,0.4928571428571428,2.13,0
86,-1,0.1700000000000001,652.9,1.78,1,24,4.28,0.62,7.15,83.0,62.0,0.4428571428571429,1.61,0
87,0,0.8300000000000001,762.5,0.75,2,16,1.84,0.65,7.87,62.0,160.8,0.3532608695652174,1.58,0
88,-2,0.24,652.9,1.78,1,24,3.49,0.62,7.15,83.0,46.5,0.4428571428571429,1.54,0
89,2,0.4499999999999999,603.4,1.4499999999999995,2,34,2.92,0.87,6.97,139.0,68.0,0.4393939393939394,0.9999999999999998,0
90,-1,0.1500000000000001,578.8,0.77,1,24,4.1,0.62,5.91,50.0,83.0,0.3369565217391304,0.9200000000000002,0
91,0,0.0399999999999998,577.5,1.83,1,13,1.35,0.54,2.7,57.8,38.67,0.3857142857142858,1.79,0
92,0,0.3899999999999999,577.5,0.97,2,16,0.67,0.54,2.7,57.8,33.91,0.2934782608695652,0.5800000000000001,0
93,0,0.0999999999999998,717.3,1.03,2,16,1.35,0.65,7.44,68.0,38.67,0.3532608695652174,0.9300000000000002,0
94,1,0.1100000000000001,593.4,1.38,2,16,1.51,0.94,7.9,158.0,71.2,0.5108695652173912,1.27,0
95,0,0.55,717.3,1.03,2,16,1.84,0.65,7.44,68.0,160.8,0.3532608695652174,1.58,0
96,1,0.05,633.1,1.22,1,12,1.51,0.75,2.99,97.0,71.2,0.4076086956521739,1.27,1
97,-1,0.93,737.1,1.53,2,8,1.63,0.54,8.91,49.0,164.1125,0.3857142857142858,2.46,0
98,0,0.06,577.5,1.83,3,25,2.92,0.54,2.7,57.8,68.0,0.3857142857142858,1.89,1
99,-11,0.1200000000000001,558.3,0.8,1,24,4.1,0.8,7.31,65.0,83.0,0.4347826086956521,0.9200000000000002,0
100,2,0.09,573.0,1.3299999999999998,2,34,1.51,0.91,8.55,163.0,71.2,0.4595959595959596,1.2399999999999998,1
101,-1,0.93,737.1,0.6700000000000002,2,16,1.63,0.54,8.91,49.0,164.1125,0.2934782608695652,1.6,0
