,Material,Chemical_formula,Band_gap_HSE,Direct_or_indirect_HSE,Band_gap_GGA,Space_group_cif,Free_energy
10825,La4Rh3,La4Rh3,0.0,Indirect,0.0,220.0,-6.5832494
10826,La5Pb3,La5Pb3,0.0,Indirect,0.0,193.0,-4.930822204375
10827,La5Ru2,La5Ru2,0.0,Indirect,0.0,15.0,-6.3834554078571
10828,La5Tl3,La5Tl3,0.0,Indirect,0.0,140.0,-4.215929648125
10829,La7Pt3,La7Pt3,0.0,Indirect,0.0,186.0,-6.0224279225
10830,Li1Pt2,LiPt2,0.0,Indirect,0.0,227.0,-5.1414072133333
10831,Li1Pt7,LiPt7,0.0,Indirect,0.0,225.0,-5.83770854375
10832,Li2Sn5,Li2Sn5,0.0,Indirect,0.0,127.0,-3.4705512564286
10833,Li5Tl2,Li5Tl2,0.0,Indirect,0.0,166.0,-2.2129152785714
10834,Li7Si2,Li7Si2,0.0,Indirect,0.0,55.0,-2.8932097677778
10835,Lu1Ni5,LuNi5,0.0,Indirect,0.0,191.0,-5.63889908
10836,Lu1Os2,LuOs2,0.0,Indirect,0.0,194.0,-9.3504453308333
10837,Lu1P5,LuP5,0.695538,Indirect,0.0,11.0,-5.7466987341667
10838,Lu1Rh1,LuRh,0.0,Indirect,0.0,221.0,-6.83428411
10839,Lu1Sb2,LuSb2,0.0,Indirect,0.0,21.0,-4.4537504133333
10840,Lu1Tc2,LuTc2,0.0,Indirect,0.0,194.0,-8.6587449708333
10841,Lu1Zn3,LuZn3,0.0,Indirect,0.0,62.0,-2.289662438125
10842,Lu2N3,Lu2N3,0.0,Indirect,0.0,206.0,-7.319253471
10843,Lu2S3,Lu2S3,1.603308,Direct,0.0,62.0,-6.2311639785
10844,Lu2Zn17,Lu2Zn17,0.0,Indirect,0.0,194.0,-1.6626057542105
10845,Lu5Mg24,Lu0.17Mg0.83,0.0,Indirect,0.0,217.0,-2.0506524648276
10846,Lu7Te1,Lu7Te,0.0,Indirect,0.0,63.0,-4.63846813875
10847,Mg1Pd1,MgPd,0.0,Indirect,0.0,221.0,-4.08793698
10848,Mg1Sc1,MgSc,0.0,Indirect,0.0,221.0,-3.91981985
10849,Mg23Sr6,Mg23Sr6,0.0,Indirect,0.0,225.0,-1.6203511706897
10850,Mg24Y5,Mg24Y5,0.0,Indirect,0.0,217.0,-2.4094324827586
10851,Mg2Ni1,Mg2Ni,0.0,Indirect,0.0,180.0,-3.0101637838889
10852,Mg2Sn1,Mg2Sn,0.092342,Indirect,0.0,225.0,-2.4566200633333
10853,Mg3Ru2,Mg3Ru2,0.0,Indirect,0.0,213.0,-4.7273001525
10854,Mn1N1,MnN,0.0,Indirect,0.0,139.0,-8.855956645
10855,Mn1O2,MnO2,2.248128,Indirect,0.929473,87.0,-7.0417640691667
10856,Mn1P4,MnP4,1.778717,Direct,0.590555,9.0,-6.474223238
10857,Mn1S2,MnS2,1.450758,Indirect,0.617894,58.0,-5.6478427433333
10858,Mn1Sb1,MnSb,0.0,Indirect,0.0,194.0,-6.54374666
10859,Mn1Si1,MnSi,0.0,Indirect,0.0,198.0,-7.65506900625
10860,Mn1Sn2,MnSn2,0.0,Indirect,0.0,140.0,-5.517215015
10861,Mn1Te1,MnTe,1.454051,Indirect,0.835526,62.0,-5.523875455
10862,Mn1Te2,MnTe2,0.766549,Indirect,0.234227,205.0,-4.7402932675
10863,Mn2P1,Mn2P,0.0,Indirect,0.0,150.0,-8.2945662755556
10864,Mn2Sc1,Mn2Sc,0.0,Indirect,0.0,194.0,-8.2083044533333
10865,Mn2Ta1,Mn2Ta,0.0,Indirect,0.0,194.0,-10.180840180417
10866,Mo1Pt2,MoPt2,0.0,Indirect,0.0,71.0,-8.0720109066667
10867,Mo1S2,MoS2,0.0,Indirect,0.0,160.0,-6.97983167
10868,Mo3Os1,Mo3Os,0.0,Indirect,0.0,223.0,-11.01835945125
10869,N1Nb1,NbN,0.0,Indirect,0.0,194.0,-10.1253426925
10870,N1Ni3,Ni3N,0.0,Indirect,0.0,182.0,-6.15158659625
10871,N1O1,N2O2,0.0,Indirect,0.0,14.0,-6.37254102
10872,Na1P15,Na1P15,2.142175,Indirect,1.425626,2.0,-5.22539962125
10873,Na1Pb3,NaPb3,0.0,Indirect,0.0,221.0,-3.115215465
10874,Na1Si1,NaSi,1.689275,Indirect,1.15034,15.0,-3.38410148875
10875,Na1Tl1,NaTl,0.0,Indirect,0.0,227.0,-1.8807907425
10876,Na1Zn13,NaZn13,0.0,Indirect,0.0,226.0,-1.1846400528571
10877,Nb1Pd2,NbPd2,0.0,Indirect,0.0,71.0,-7.2662285933333
10878,Nb1Pt1,NbPt,0.0,Indirect,0.0,51.0,-8.70624437
10879,Nb1Rh1,NbRh,0.0,Indirect,0.0,51.0,-9.0475718
10880,Nb1Rh1,NbRh,0.0,Indirect,0.0,123.0,-9.066772775
10881,Nb1Rh1,NbRh,0.0,Indirect,0.0,10.0,-9.0554585911111
10882,Nb1Si2,NbSi2,0.0,Indirect,0.0,180.0,-7.5238291666667
10883,Nb1Si2,NbSi2,0.0,Indirect,0.0,181.0,-7.5239349788889
10884,Nb1Si2,NbSi2,0.0,Indirect,0.0,180.0,-7.5268217711111
10885,Nb3Pb1,Nb3Pb,0.0,Indirect,0.0,223.0,-8.3407522975
10886,Nb5Ni1,Nb5Ni,0.0,Indirect,0.0,227.0,-9.1871616016667
10887,Ni1P2,NiP2,0.0,Indirect,0.0,205.0,-5.78628373
10888,Ni1Pb1,NiPb,0.0,Indirect,0.0,194.0,-4.4443842825
10889,Ni1S1,NiS,0.0,Indirect,0.0,160.0,-5.1667404433333
10890,Ni1Se1,NiSe,1.402305,Indirect,0.761693,194.0,-3.2493785575
10891,Ni1Sn1,NiSn,0.0,Indirect,0.0,55.0,-4.9013272928125
10892,Ni1Te2,NiTe2,0.0,Indirect,0.0,205.0,-4.1145421391667
10893,Ni1Tl1,NiTl,0.0,Indirect,0.0,194.0,-3.61342235
10894,Ni1Y1,NiY,0.0,Indirect,0.0,14.0,-6.40446847625
10895,Ni1Y3,Y3Ni,0.0,Indirect,0.0,62.0,-6.4373961575
10896,Ni2Sc1,Ni2Sc,0.0,Indirect,0.0,227.0,-6.2612674416667
10897,Ni2Si1,Ni2Si,0.0,Indirect,0.0,182.0,-5.9667847
10898,Ni3Sb1,Ni3Sb,0.0,Indirect,0.0,59.0,-5.2986754325
10899,Ni3Si2,Ni3Si2,0.0,Indirect,0.0,36.0,-5.983492366
10900,Ni3Sn4,Ni3Sn4,0.0,Indirect,0.0,12.0,-4.7696210071429
10901,Ni4Ti3,Ni4Ti3,0.0,Indirect,0.0,148.0,-6.8447953828571
10902,O1Ti3,Ti3O,0.0,Indirect,0.0,149.0,-8.4467870958333
10903,O2Si1,SiO2,7.441236,Indirect,5.658286,148.0,-7.9072329422222
10904,Os1Si2,OsSi2,1.389095,Indirect,0.675682,64.0,-7.8018593825
10905,Os1Si2,OsSi2,0.271367,Indirect,0.0,12.0,-7.77434086
10906,Os1W2,Os0.67W1.33,0.0,Indirect,0.0,136.0,-12.417381725333
10907,Os1Zr1,OsZr,0.0,Indirect,0.0,221.0,-10.44488124
10908,Os2Zr1,Os2Zr,0.0,Indirect,0.0,194.0,-10.741528898333
