,$y$,$R_c$,$V_a$,$R_a$,$R_b$,$D_a$,$D_b$,$Ce_a$,$Ce_b$,$Ce_c$,$Dp_a$,$Dp_b$,$Fi_b$,$N_b$,$F_a$,$F_b$,$Ns_a$,$Ns_b$,$Np_a$,$Np_b$,$Nd_b$,$(En)diff_{ab}$,$(En)diff_{cb}$,$(En)diff_{ca}$,$o$,HOMO_character,HOMO_element,HOMO_energy,LUMO_character,LUMO_element,gap_AO,mean Voro_index_3,mean Voro_index_4,mean Voro_index_5,mean Voro_index_6,mean Voro_index_8,mean Voro_index_9
$Dp_a$,-0.07043144832356853,-0.13711598578919812,-0.35262983642700546,0.6088305725266331,-0.017902751323831203,-0.5658823528005666,0.03171217482664788,-0.15994697460134955,0.11981838929650383,0.06130658405665597,1.0,0.1090830838603546,0.009047992587929111,0.011153178226903765,-0.6797563567182072,-0.06260722532695762,-0.228847918864344,-0.07257455340098332,-0.17655153299605741,-0.08972548914418134,-0.002546895909666311,0.44082682151415725,0.14169576943306197,0.60294311809604,0.10034076362098059,0.21894802287574303,0.044960450097782635,0.12425047204935569,0.20884479234225783,0.12166383875527331,0.13496339711459693,0.11910124580148321,0.044158058620331474,-0.07857531232134403,0.07153273020084823,-0.05957770916670167,-0.05502436625577111
$Dp_b$,0.4294051837764497,0.32153093439614333,-0.025748638355219653,0.15687257309855845,0.7648707478557515,-0.12117400464233631,-0.14868325671830157,-0.18168234092234356,-0.1276503614324739,-0.04593406890435302,0.1090830838603546,1.0,-0.6404350353005711,0.5124959661792945,-0.23811615939864317,-0.6966984234085077,0.040089091372905936,0.14157888636435625,-0.16100977926397472,-0.3171854963247212,-0.6476327836062696,-0.06672390916056317,0.28624133226709786,-0.11769733507787959,0.4265544683769187,0.20194377175090925,0.3681377445767588,0.20975761157061645,0.16269224364092105,0.3703507827791796,0.15830666912645883,0.014583863260352138,0.058929590843184596,0.01637334948655082,-0.03060548860288647,-0.0358804511282262,0.060274128640453804
$Fi_b$,-0.24468807446387186,-0.37212045584688935,0.1331077037857308,-0.21313665179710828,-0.45249812628860425,-0.09809552952262734,0.4016592062446123,0.17540021468544253,0.28163355182498906,-0.0022352167699471047,0.009047992587929111,-0.6404350353005711,1.0,-0.286390587129278,0.13583843211003419,0.18437342577727686,-0.0989901821514061,-0.1045534519688259,0.32059878243533285,-0.12212350239165705,0.5859182243593923,0.2278339196733747,-0.11466787945061233,0.24848941417592876,-0.12636031273964343,0.03718795786837364,-0.06683630480467782,-0.1469124433912329,0.11449502437618837,-0.1686058658745567,-0.17489774777924325,-0.05007424355657563,-0.11184243843206162,0.09783000068600368,0.02940889906725418,-0.039439528623997654,-0.07257695871314489
$N_b$,0.29491151132654675,0.22480250257250414,-0.1423146013990511,0.06818138421376978,0.7421004247124812,-0.14314160745624951,0.547465590509292,-0.22278205473784982,-0.05891587028043273,-0.05121976034684753,0.011153178226903765,0.5124959661792945,-0.286390587129278,1.0,-0.19443631239831488,-0.22133896838321793,0.10368528849728648,0.17149436855117386,-0.17277435669443686,0.11157064697661072,-0.0615346362767027,0.0779860905429796,-0.062322427246242935,-0.055302913720841056,0.47796033157622947,0.16413542303810758,0.3721299241577136,-0.07560053763426378,0.01846808490560743,0.4685872134282402,0.11013545513922125,0.012897271066715713,0.04184244616181314,0.009436462845583983,-0.03836465369061645,-0.08154623899905095,0.03831963377953716
$F_a$,-0.046773112949253806,-0.09354724013212465,0.5720010031994116,-0.3566715519567934,-0.05978922231694128,0.6771086410738517,-0.0940878703873317,0.4812290766229762,-0.12402064159730218,-0.06295109627358193,-0.6797563567182072,-0.23811615939864317,0.13583843211003419,-0.19443631239831488,1.0,0.047558227078659206,0.1923099974239081,-0.005470549520791164,0.5266415377001235,0.020582050105851405,0.10495131805221997,-0.39228282192746167,0.031331555579705406,-0.4650620441836273,0.018272865277157893,-0.16920120272772235,-0.1774230572356702,-0.17617432373407227,-0.1581098906143215,-0.1909520752415292,-0.09111791006776444,-0.19693866109941546,-0.1269358077622629,0.19057109195524868,-0.05980992226199349,0.047088680206069135,0.006666798207130606
$F_b$,-0.3859748177287813,-0.1812634530078007,-0.3048400201221153,0.046114529370410384,-0.5172293983845142,0.06814875073427032,0.09091223253637978,-0.08538963093213925,0.08613598991618894,0.05216676882846557,-0.06260722532695762,-0.6966984234085077,0.18437342577727686,-0.22133896838321793,0.047558227078659206,1.0,-0.030030799402438108,-0.019518567524594643,-0.09484359007502828,0.6646545885203291,0.5258844761212282,-0.1009284789084579,-0.3142074994571271,0.10608444090823019,-0.31064273795954295,-0.13803074966035553,-0.24276906087190325,-0.08956661217896679,-0.14353445908948714,-0.1701905660282894,-0.04640525366405514,0.044046336300217544,0.05363417042794779,-0.10572454952150605,-0.04473650273232133,0.06541268321549573,0.011125771877199618
$Ns_a$,0.21422394149740676,0.06328128109631305,0.22646849987930331,-0.06004267009367115,0.13449091001702126,-0.03952309374831391,-0.04825589238042792,-0.14236987718600452,-0.11483089215938962,-0.08182089755172908,-0.228847918864344,0.040089091372905936,-0.0989901821514061,0.10368528849728648,0.1923099974239081,-0.030030799402438108,1.0,0.10035026029728168,0.1213432594173715,0.10278006503421938,-0.06194743123163166,-0.3204604544660529,0.0039867965506827545,-0.03764077628203716,0.05593592251481851,-0.09893015142823691,-0.100811310714904,-0.3210691521121929,-0.061949060519034906,-0.03015241758478869,0.062258474509484435,-0.0922651916756764,-0.05753305461680534,0.05446024597461552,-0.07918738464115807,0.0338994399113568,0.048620721533973774
$Ns_b$,0.16337300732936003,0.0411716662415827,-0.001160949487882709,-0.08451172347234992,0.2653436502536335,-0.1037261385646653,-0.19435482094344173,-0.11702445995099667,-0.2057967251358819,-0.02340524216863581,-0.07257455340098332,0.14157888636435625,-0.1045534519688259,0.17149436855117386,-0.005470549520791164,-0.019518567524594643,0.10035026029728168,1.0,0.09024163451472832,0.20107584188856575,-0.27254684368866605,-0.16582907030877056,0.18579430232869737,0.0077266858451512845,0.18552292064213238,0.14335540165945462,-0.12857607914973768,-0.526544804016404,-0.13238746879246863,-0.06864637036566203,-0.0013187329279238647,0.03277165437512632,0.07758770285765228,0.005931645909262683,0.06226598110947861,-0.060952299605519976,0.0567554132080579
$Np_a$,0.08105505998554312,-0.19114966293817875,0.6032584230641432,-0.4098205310688316,0.04200809016511596,-0.11435742208641896,-0.060502785307946366,0.33559460673061636,-0.12550113013532735,-0.04939418552043983,-0.17655153299605741,-0.16100977926397472,0.32059878243533285,-0.17277435669443686,0.5266415377001235,-0.09484359007502828,0.1213432594173715,0.09024163451472832,1.0,-0.11622251636107984,0.12280764875255805,-0.09086422954032297,0.15570116379396132,-0.027186247062509532,0.17131319019232372,0.01652628655468369,-0.18037938505895038,-0.2009182948554426,0.014865647070583899,-0.22811531116832273,-0.11654224528222142,-0.2577144740946559,-0.18705290739139926,0.39802218428186825,-0.07683305555923368,-0.02287224485815445,-0.03280482069948981
$Np_b$,-0.14735139643588946,-0.0945982300287719,-0.059060040603521824,0.03578598992396828,0.044503297133381824,0.08570373536369585,-0.15235937352511517,-0.09545675054452184,-0.3111490144060206,-0.04087614803803362,-0.08972548914418134,-0.3171854963247212,-0.12212350239165705,0.11157064697661072,0.020582050105851405,0.6646545885203291,0.10278006503421938,0.20107584188856575,-0.11622251636107984,1.0,0.2295815732413936,0.01281049191178053,-0.07969990851900878,0.05087781790730812,0.12754584224675863,-0.14328722643735067,-0.3036509030107632,-0.3441123497758625,-0.26932736955575426,0.04175330971314749,0.3227848575492218,0.0391138609575439,0.06152997528374726,0.007008447651592903,0.05170805042231373,0.0395571413676357,0.011426469412863583
