,formula,$y$,A,B,C,hse
156,Co2HgO4,False,Hg,Co,O,0.0
157,MgMn2O4,False,Mg,Mn,O,2.173952579498291
158,ZnIn2O4,False,Zn,In,O,2.820258140563965
159,Fe(NiO2)2,False,Fe,Ni,O,0.0
160,Al2HgO4,True,Hg,Al,O,2.938411235809326
161,Ga2CuO4,False,Cu,Ga,O,0.0
162,Ni(RhO2)2,False,Ni,Rh,O,0.0
163,Mn(RhO2)2,False,Mn,Rh,O,2.872987747192383
164,Ni2GeO4,True,Ge,Ni,O,3.7592692375183105
165,MgCr2O4,True,Mg,Cr,O,4.194993019104004
166,Mg(RhO2)2,False,Mg,Rh,O,3.0653634071350098
167,LiV2O4,False,Li,V,O,0.0
168,MnAl2O4,True,Mn,Al,O,4.540410041809082
169,Cd2SnO4,False,Sn,Cd,O,1.7444679737091064
170,Mg(MnS2)2,False,Mg,Mn,S,0.0
171,Li(MnS2)2,False,Li,Mn,S,0.0
172,Pr2MgS4,True,Mg,Pr,S,0.0
173,Zn(CrS2)2,False,Zn,Cr,S,1.135380506515503
174,Zr2CuS4,False,Cu,Zr,S,0.0
175,Sc2ZnS4,True,Zn,Sc,S,1.5567808151245117
176,Ca(CrS2)2,False,Ca,Cr,S,2.406101703643799
177,Dy2CdS4,True,Cd,Dy,S,2.05417537689209
178,Fe(NiS2)2,False,Fe,Ni,S,0.0
179,Cr(GaS2)2,False,Cr,Ga,S,0.0
180,Dy2MgS4,True,Mg,Dy,S,2.9589638710021973
181,Ce2MgS4,False,Mg,Ce,S,0.0
182,Mg(VS2)2,False,Mg,V,S,0.0
183,In2CuS4,False,Cu,In,S,0.0
184,Yb2FeS4,False,Fe,Yb,S,0.0
185,In2HgS4,False,Hg,In,S,1.2436293363571167
186,Co2CuS4,False,Cu,Co,S,0.0
187,Mg(InS2)2,False,Mg,In,S,2.9906158447265625
188,Mg(WS2)2,False,Mg,W,S,1.05538809299469
189,Yb2MnS4,False,Mn,Yb,S,0.0
190,Tm2MgS4,True,Mg,Tm,S,3.0906660556793213
191,Ca(MnS2)2,False,Ca,Mn,S,0.0
192,Cr2FeS4,False,Fe,Cr,S,0.0
193,Mn2ZnS4,False,Zn,Mn,S,0.0
194,Yb2CdS4,False,Cd,Yb,S,0.0
195,Sc2CdS4,True,Cd,Sc,S,1.9564354419708252
196,Cr(InS2)2,False,Cr,In,S,0.0
197,Cr2AgS4,False,Ag,Cr,S,0.0
198,In2CoS4,False,Co,In,S,0.0
199,Al(CoS2)2,False,Al,Co,S,0.0
200,Mg(CrS2)2,False,Mg,Cr,S,2.0788042545318604
201,Mg(GaS2)2,False,Mg,Ga,S,2.667057991027832
202,Ti2CuS4,False,Cu,Ti,S,0.0
203,Er2MgS4,True,Mg,Er,S,3.063382148742676
204,Tb2MgS4,True,Mg,Tb,S,2.928771495819092
205,Zn(GaS2)2,False,Zn,Ga,S,2.5686838626861572
206,Ca(TiS2)2,False,Ca,Ti,S,0.0
207,Mg(CoS2)2,False,Mg,Co,S,1.814047932624817
208,Mg(FeS2)2,False,Mg,Fe,S,0.0
209,In2FeS4,False,Fe,In,S,0.0
210,Mg(MoS2)2,False,Mg,Mo,S,0.0
211,Li(TiS2)2,False,Li,Ti,S,0.0
212,Ni(RhS2)2,False,Ni,Rh,S,0.0
213,Y2MgS4,True,Mg,Y,S,2.8313722610473633
214,Al2HgS4,False,Hg,Al,S,2.3498668670654297
215,Lu2FeS4,False,Fe,Lu,S,0.0
216,Ca(VS2)2,False,Ca,V,S,0.0
217,Lu2MnS4,False,Mn,Lu,S,0.0
218,Zn(FeS2)2,False,Zn,Fe,S,0.0
219,Ho2MgS4,True,Mg,Ho,S,3.0060057640075684
220,In2NiS4,False,Ni,In,S,0.0
221,Cr2CuS4,False,Cu,Cr,S,0.0
222,Zn(CoS2)2,False,Zn,Co,S,1.7673437595367432
223,Mn(CrS2)2,False,Mn,Cr,S,0.0
224,Cs(CrS2)2,False,Cs,Cr,S,0.0
225,Li(NiS2)2,False,Li,Ni,S,0.0
226,Ho2CdS4,True,Cd,Ho,S,2.097790002822876
227,Ti2ZnS4,False,Zn,Ti,S,0.0
228,Mn(AlS2)2,True,Mn,Al,S,0.0
229,Mn(InS2)2,False,Mn,In,S,0.0
230,Mg(NiS2)2,False,Mg,Ni,S,0.0
231,Tm2CdS4,True,Cd,Tm,S,2.166958808898926
232,Lu2CdS4,True,Cd,Lu,S,2.1180856227874756
233,Lu2MgS4,True,Mg,Lu,S,3.0664217472076416
234,Li(FeS2)2,False,Li,Fe,S,0.0
235,Mg(AlS2)2,False,Mg,Al,S,3.6044344902038574
236,Mg(TiS2)2,False,Mg,Ti,S,0.0
237,Co(NiS2)2,False,Co,Ni,S,0.0
238,Ca(FeS2)2,False,Ca,Fe,S,0.0
239,Co(RhS2)2,True,Co,Rh,S,1.1195566654205322
240,Fe(RhS2)2,False,Fe,Rh,S,0.0
241,V2CuS4,False,Cu,V,S,0.0
242,Ca(CoS2)2,False,Ca,Co,S,1.956496000289917
243,Mg(ScS2)2,True,Mg,Sc,S,2.6945700645446777
244,Zn(NiS2)2,False,Zn,Ni,S,0.0
245,Nd2MgS4,True,Mg,Nd,S,1.007486343383789
246,Al2ZnS4,False,Zn,Al,S,3.626112461090088
247,K(CrS2)2,False,K,Cr,S,0.0
248,V2ZnS4,False,Zn,V,S,0.0
249,Co2NiS4,False,Ni,Co,S,0.0
250,Sm2MgS4,True,Mg,Sm,S,2.721925973892212
251,Sc2MnS4,False,Mn,Sc,S,0.0
252,Yb2MgS4,False,Mg,Yb,S,0.0
253,Pm2MgS4,True,Mg,Pm,S,2.484884262084961
254,Gd2MgS4,False,Mg,Gd,S,0.0
255,Eu2MgS4,False,Mg,Eu,S,0.0
256,Cu(RhS2)2,False,Cu,Rh,S,0.0
257,Cr2CdS4,False,Cd,Cr,S,0.0
258,Cr2HgS4,False,Hg,Cr,S,0.0
259,Sc2FeS4,False,Fe,Sc,S,0.0
260,Al2CdS4,False,Cd,Al,S,3.585139274597168
261,Er2CdS4,True,Cd,Er,S,2.141237735748291
262,Zn(InS2)2,False,Zn,In,S,2.1053826808929443
263,Y2ZnS4,True,Zn,Y,S,1.6308341026306152
264,Cr2CoS4,False,Co,Cr,S,0.0
265,Fe2SiS4,False,Si,Fe,S,0.0
266,Na(CrS2)2,False,Na,Cr,S,0.0
267,Cu(IrS2)2,False,Cu,Ir,S,0.0
268,Rb(CrS2)2,False,Rb,Cr,S,0.0
269,Li(CrS2)2,False,Li,Cr,S,0.0
270,Y2CdS4,True,Cd,Y,S,2.114715337753296
271,Cd(InS2)2,False,Cd,In,S,2.0205485820770264
272,Cr2GaS4,False,Ga,Cr,S,0.0
273,La2MgS4,False,Mg,La,S,2.6637980937957764
274,Li(CoS2)2,False,Li,Co,S,0.0
275,Ca2SnS4,True,Sn,Ca,S,0.9632208943367004
276,Y2CdSe4,True,Cd,Y,Se,1.4594086408615112
277,Cr2CuSe4,False,Cu,Cr,Se,0.0
278,Dy2MgSe4,True,Mg,Dy,Se,2.180875778198242
279,Cu(RhSe2)2,False,Cu,Rh,Se,0.0
280,Mg(ScSe2)2,True,Mg,Sc,Se,1.9849190711975098
281,Nd2MgSe4,True,Mg,Nd,Se,1.9511147737503052
282,Cd(InSe2)2,False,Cd,In,Se,0.9209246039390564
283,Ho2MgSe4,True,Mg,Ho,Se,2.2270236015319824
284,Sc2ZnSe4,True,Zn,Sc,Se,1.050006628036499
285,Tb2MgSe4,True,Mg,Tb,Se,2.1362311840057373
286,Pr2MgSe4,True,Mg,Pr,Se,1.780128002166748
287,Zn(InSe2)2,False,Zn,In,Se,0.9045053124427795
288,La2MgSe4,True,Mg,La,Se,2.128852605819702
289,Zn(CrSe2)2,False,Zn,Cr,Se,1.0293965339660645
290,Sc2CdSe4,True,Cd,Sc,Se,1.3760790824890137
291,Al2HgSe4,False,Hg,Al,Se,1.2512418031692505
292,Lu2CdSe4,True,Cd,Lu,Se,1.484460711479187
293,Sc2MnSe4,False,Mn,Sc,Se,0.0
294,Yb2ZnSe4,False,Zn,Yb,Se,0.0
295,Er2MgSe4,True,Mg,Er,Se,2.3052971363067627
296,Dy2CdSe4,True,Cd,Dy,Se,1.3774359226226807
297,Cr2HgSe4,False,Hg,Cr,Se,0.0
298,In2CoSe4,False,Co,In,Se,0.0
299,Pm2MgSe4,True,Mg,Pm,Se,1.9166065454483032
300,Mn2ZnSe4,False,Zn,Mn,Se,0.0
301,Lu2MgSe4,True,Mg,Lu,Se,2.319587469100952
302,Eu2MgSe4,False,Mg,Eu,Se,0.0
303,Al2ZnSe4,False,Zn,Al,Se,2.36624813079834
304,Y2MgSe4,True,Mg,Y,Se,2.5217907428741455
305,Lu2MnSe4,True,Mn,Lu,Se,1.5307176113128662
306,Tm2CdSe4,True,Cd,Tm,Se,1.4721850156784058
307,Mg(InSe2)2,True,Mg,In,Se,1.5200636386871338
308,Yb2CdSe4,False,Cd,Yb,Se,0.0
309,Cr2CdSe4,False,Cd,Cr,Se,0.0
310,Y2ZnSe4,True,Zn,Y,Se,1.0888011455535889
311,Sm2MgSe4,True,Mg,Sm,Se,1.9804210662841797
312,Tm2MgSe4,True,Mg,Tm,Se,2.307194471359253
313,Ho2CdSe4,True,Cd,Ho,Se,1.4145126342773438
314,Al2CdSe4,False,Cd,Al,Se,2.7586121559143066
315,Yb2MnSe4,False,Mn,Yb,Se,0.0
316,Mg(CrSe2)2,False,Mg,Cr,Se,1.5564466714859009
317,Yb2MgSe4,False,Mg,Yb,Se,0.0
318,Cr2AgTe4,False,Ag,Cr,Te,0.0
319,Mn2ZnTe4,False,Zn,Mn,Te,0.0
320,Dy2CdTe4,False,Cd,Dy,Te,0.0
321,Cr2CuTe4,False,Cu,Cr,Te,0.0
322,Li2ZnCl4,False,Zn,Li,Cl,5.606469631195068
323,LiAg2F4,False,Li,Ag,F,0.0
324,Li2MnF4,True,Mn,Li,F,6.803432464599609
