,$y$,$R_c$,$V_a$,$R_a$,$R_b$,$D_a$,$D_b$,$Ce_a$,$Ce_b$,$Ce_c$,$Dp_a$,$Dp_b$,$Fi_b$,$N_b$,$F_a$,$F_b$,$Ns_a$,$Ns_b$,$Np_a$,$Np_b$,$Nd_b$,$(En)diff_{ab}$,$(En)diff_{cb}$,$(En)diff_{ca}$,$o$,HOMO_character,HOMO_element,HOMO_energy,LUMO_character,LUMO_element,gap_AO,mean Voro_index_3,mean Voro_index_4,mean Voro_index_5,mean Voro_index_6,mean Voro_index_8,mean Voro_index_9
$Dp_a$,-0.07043144832356847,-0.13711598578919804,-0.35262983642700546,0.6088305725266329,-0.01790275132383086,-0.5658823528005672,0.03171217482664781,-0.15994697460134946,0.11981838929650365,0.061306584056656045,1.0,0.1090830838603546,0.0090479925879288,0.011153178226903824,-0.6797563567182066,-0.06260722532695737,-0.22884791886434405,-0.07257455340098332,-0.17655153299605741,-0.08972548914418128,-0.002546895909666263,0.4408268215141575,0.14169576943306186,0.6029431180960393,0.10034076362098081,0.2189480228757429,0.044960450097782476,0.12425047204935544,0.20884479234225764,0.12166383875527324,0.13496339711459684,0.126109611020831,0.04996934469448381,-0.0941391490527852,0.07303711944387473,-0.05369957058936691,-0.055387054357153596
$Dp_b$,0.4294051837764496,0.3215309343961429,-0.02574863835521979,0.15687257309855845,0.7648707478557522,-0.12117400464233653,-0.1486832567183015,-0.18168234092234345,-0.12765036143247355,-0.04593406890435324,0.1090830838603546,1.0,-0.64043503530057,0.5124959661792943,-0.23811615939864278,-0.696698423408508,0.04008909137290587,0.1415788863643561,-0.16100977926397453,-0.317185496324721,-0.6476327836062691,-0.06672390916056305,0.2862413322670978,-0.1176973350778794,0.42655446837691824,0.20194377175090944,0.3681377445767586,0.2097576115706166,0.1626922436409215,0.3703507827791796,0.15830666912645902,0.0269219014218947,0.08186862468988051,-0.02680998278396973,0.010185905308763581,-0.010552623719231727,0.056318400231202645
$Fi_b$,-0.24468807446387175,-0.37212045584688774,0.13310770378573086,-0.21313665179710856,-0.4524981262886041,-0.09809552952262719,0.40165920624461227,0.17540021468544229,0.28163355182498895,-0.0022352167699462642,0.0090479925879288,-0.64043503530057,1.0,-0.2863905871292777,0.135838432110034,0.18437342577727672,-0.09899018215140602,-0.10455345196882582,0.32059878243533274,-0.1221235023916573,0.5859182243593919,0.22783391967337419,-0.11466787945061414,0.2484894141759272,-0.12636031273964438,0.03718795786837294,-0.06683630480467785,-0.14691244339123286,0.11449502437618747,-0.16860586587455695,-0.1748977477792437,-0.023469127985253583,-0.101076201344741,0.05581115045044655,0.021903857684300046,-0.0453877660524391,-0.08987116045157803
$N_b$,0.2949115113265465,0.2248025025725041,-0.1423146013990511,0.0681813842137701,0.742100424712481,-0.1431416074562495,0.5474655905092917,-0.2227820547378498,-0.05891587028043251,-0.05121976034684746,0.011153178226903824,0.5124959661792943,-0.2863905871292777,1.0,-0.1944363123983147,-0.22133896838321798,0.10368528849728641,0.17149436855117386,-0.17277435669443683,0.11157064697661048,-0.06153463627670273,0.07798609054297959,-0.06232242724624289,-0.055302913720841174,0.47796033157622886,0.1641354230381077,0.3721299241577137,-0.07560053763426337,0.018468084905607748,0.46858721342824006,0.11013545513922113,0.030589901188258745,0.07154528483769582,-0.05006671848160258,-0.004323917724877899,-0.047035109218614576,0.04776333989484382
$F_a$,-0.04677311294925368,-0.09354724013212412,0.5720010031994115,-0.3566715519567938,-0.059789222316941025,0.6771086410738518,-0.09408787038733182,0.48122907662297554,-0.12402064159730236,-0.06295109627358175,-0.6797563567182066,-0.23811615939864278,0.135838432110034,-0.1944363123983147,1.0,0.04755822707865914,0.1923099974239081,-0.005470549520791169,0.5266415377001233,0.020582050105851332,0.1049513180522199,-0.3922828219274617,0.03133155557970501,-0.46506204418362734,0.018272865277157668,-0.1692012027277225,-0.17742305723567015,-0.17617432373407232,-0.1581098906143218,-0.19095207524152913,-0.09111791006776455,-0.22016252029502803,-0.14993848060404755,0.24553017756063697,-0.08817405013093695,0.04708868020606913,0.016277971823817836
$F_b$,-0.3859748177287814,-0.18126345300780122,-0.3048400201221145,0.04611452937041044,-0.5172293983845142,0.06814875073427029,0.09091223253637953,-0.08538963093213908,0.08613598991618886,0.05216676882846533,-0.06260722532695737,-0.696698423408508,0.18437342577727672,-0.22133896838321798,0.04755822707865914,1.0,-0.03003079940243812,-0.019518567524594625,-0.09484359007502816,0.664654588520329,0.5258844761212284,-0.10092847890845778,-0.31420749945712667,0.10608444090823063,-0.3106427379595425,-0.13803074966035558,-0.24276906087190356,-0.08956661217896726,-0.1435344590894873,-0.17019056602828922,-0.04640525366405508,0.035973005332471844,0.04986442025655235,-0.09139544241532851,-0.048406293972082175,0.06541268321549566,0.019001318262183445
$Ns_a$,0.21422394149740676,0.06328128109631267,0.22646849987930312,-0.060042670093671105,0.13449091001702113,-0.03952309374831394,-0.048255892380427906,-0.14236987718600438,-0.11483089215938957,-0.08182089755172926,-0.22884791886434405,0.04008909137290587,-0.09899018215140602,0.10368528849728641,0.1923099974239081,-0.03003079940243812,1.0,0.10035026029728165,0.12134325941737162,0.10278006503421948,-0.06194743123163155,-0.32046045446605304,0.003986796550683085,-0.0376407762820368,0.05593592251481852,-0.09893015142823676,-0.10081131071490415,-0.3210691521121923,-0.06194906051903473,-0.03015241758478865,0.06225847450948444,-0.10138695114070444,-0.08013797736624693,0.09255420041281817,-0.10308994222278071,-0.06317622892571052,0.048620721533973704
$Ns_b$,0.16337300732935994,0.041171666241582486,-0.0011609494878826742,-0.08451172347234996,0.2653436502536337,-0.10372613856466535,-0.1943548209434416,-0.11702445995099663,-0.20579672513588199,-0.0234052421686357,-0.07257455340098332,0.1415788863643561,-0.10455345196882582,0.17149436855117386,-0.005470549520791169,-0.019518567524594625,0.10035026029728165,1.0,0.09024163451472833,0.20107584188856586,-0.272546843688666,-0.16582907030877042,0.1857943023286973,0.007726685845151362,0.18552292064213227,0.1433554016594547,-0.12857607914973754,-0.5265448040164038,-0.13238746879246865,-0.06864637036566204,-0.0013187329279238918,0.05555253150816677,0.10099546617891965,-0.04929402290111458,0.05873005465382956,0.03957112644546854,0.0567554132080579
$Np_a$,0.08105505998554312,-0.19114966293817878,0.6032584230641433,-0.4098205310688317,0.042008090165116294,-0.11435742208641894,-0.06050278530794644,0.3355946067306165,-0.1255011301353278,-0.04939418552043985,-0.17655153299605741,-0.16100977926397453,0.32059878243533274,-0.17277435669443683,0.5266415377001233,-0.09484359007502816,0.12134325941737162,0.09024163451472833,1.0,-0.11622251636107989,0.12280764875255806,-0.09086422954032301,0.15570116379396132,-0.02718624706250935,0.17131319019232413,0.016526286554683654,-0.1803793850589505,-0.20091829485544282,0.014865647070583615,-0.228115311168323,-0.11654224528222139,-0.25771447409465653,-0.18705290739139938,0.3980221842818679,-0.07683305555923378,-0.02287224485815445,-0.03280482069948982
$Np_b$,-0.14735139643588943,-0.0945982300287719,-0.0590600406035219,0.03578598992396826,0.04450329713338216,0.08570373536369591,-0.15235937352511525,-0.09545675054452178,-0.3111490144060208,-0.04087614803803359,-0.08972548914418128,-0.317185496324721,-0.1221235023916573,0.11157064697661048,0.020582050105851332,0.664654588520329,0.10278006503421948,0.20107584188856586,-0.11622251636107989,1.0,0.22958157324139358,0.012810491911780538,-0.07969990851900859,0.050877817907308144,0.1275458422467586,-0.1432872264373505,-0.30365090301076364,-0.3441123497758622,-0.2693273695557548,0.041753309713147474,0.3227848575492221,0.027170407873377298,0.05632490620818177,0.02679331107431225,0.05001903337632119,0.03955714136763568,0.022300601935679384
$Nd_b$,-0.31389512691292903,-0.24719964539588377,-0.00507051711745152,-0.08935008584812275,-0.2675164645392911,0.002174618740137791,0.4393234830352792,0.14073088004088632,0.09559075526361742,0.03416350183962834,-0.002546895909666263,-0.6476327836062691,0.5859182243593919,-0.06153463627670273,0.1049513180522199,0.5258844761212284,-0.06194743123163155,-0.272546843688666,0.12280764875255806,0.22958157324139358,1.0,0.11584133592406898,-0.30262052532430594,0.13982825880934183,-0.045071501069467265,-0.06745194259511492,-0.15422216502306849,-0.12528407085249627,-0.014683220176041739,-0.09232274226859159,-0.03539406880391634,-0.06926467658389468,-0.059892017918716005,0.04880230788626576,-0.05309955739220165,-0.07183351321867042,0.005746268686893847
$(En)diff_{ab}$,-0.03450177830362145,-0.18284736854442707,-0.06695910792242633,0.23925066174157097,-0.0018848467748005962,-0.21316601168260685,0.22227599912044285,-0.058363112616379755,0.19695586081062152,0.023218083026869982,0.4408268215141575,-0.06672390916056305,0.22783391967337419,0.07798609054297959,-0.3922828219274617,-0.10092847890845778,-0.32046045446605304,-0.16582907030877042,-0.09086422954032301,0.012810491911780538,0.11584133592406898,1.0,0.016312709319978018,0.34396689950927095,0.14043608847196906,0.12467432885675668,0.08380037001191584,0.017338430309877778,0.11364179590318392,0.23336456096392486,0.04789032289400222,0.11378433301466166,0.04895358110711707,-0.05788456103903874,0.135638540714434,-0.015606525799858585,-0.09313247776900573
$(En)diff_{cb}$,0.1253225414911175,-0.7090220414226707,0.2626626517513229,0.0841853564475802,0.23848324109206298,-0.010465198693942326,-0.34050461159031004,0.13622884280799447,-0.23999254933484943,-0.43565295236384993,0.14169576943306186,0.2862413322670978,-0.11466787945061414,-0.06232242724624289,0.03133155557970501,-0.31420749945712667,0.003986796550683085,0.1857943023286973,0.15570116379396132,-0.07969990851900859,-0.30262052532430594,0.016312709319978018,1.0,0.6011990577190898,0.6852503927021208,0.2333933580477418,-0.03380850092505692,-0.26092926630515484,0.17313962710205322,0.14348228929929635,0.2081242532882572,-0.06977365233177982,-0.13123883068928868,0.12062541178359944,0.008170507628633021,-0.05345580608423119,-0.08620269583772668
$(En)diff_{ca}$,-0.07737506805171421,-0.7701608032887836,-0.1717856132299331,0.25749247555381577,-0.11085898649698116,-0.523710409065757,0.10311719074726815,-0.14162803124582526,0.17372472308881534,-0.3124645565023399,0.6029431180960393,-0.1176973350778794,0.2484894141759272,-0.055302913720841174,-0.46506204418362734,0.10608444090823063,-0.0376407762820368,0.007726685845151362,-0.02718624706250935,0.050877817907308144,0.13982825880934183,0.34396689950927095,0.6011990577190898,1.0,0.43297170304399074,0.32982855741176204,0.03815915939315615,-0.18137624505662986,0.2858680792201491,0.17985410183353054,0.12964179512511115,0.03131504836406294,-0.08651700932864448,-0.015446009563398696,0.004454348422935982,-0.10298008911772741,-0.10235996608241146
$o$,0.22414930616003903,-0.5089149328710617,0.3523806399236811,0.013519093594897455,0.7289029303231157,-0.0665719739059585,0.05991514560231274,0.12499946443244847,-0.18664602876720374,-0.27035325879051547,0.10034076362098081,0.42655446837691824,-0.12636031273964438,0.47796033157622886,0.018272865277157668,-0.3106427379595425,0.05593592251481852,0.18552292064213227,0.17131319019232413,0.1275458422467586,-0.045071501069467265,0.14043608847196906,0.6852503927021208,0.43297170304399074,1.0,0.3039491094802809,0.1478511097439132,-0.3234601827832472,0.15824237037860187,0.45847541589437274,0.3690610965343113,-0.10534737868704984,-0.08705467433002503,0.21012896754569896,0.017181015111697596,-0.08023383097598073,-0.02457345228797173
HOMO_character,0.01779988872603521,-0.2616858561577159,-0.02849340294529319,0.0421336977422262,0.16292155993138754,-0.2172593614469771,0.17153891726438242,0.050292300855727494,0.08463901272523906,-0.10353532158759413,0.2189480228757429,0.20194377175090944,0.03718795786837294,0.1641354230381077,-0.1692012027277225,-0.13803074966035558,-0.09893015142823676,0.1433554016594547,0.016526286554683654,-0.1432872264373505,-0.06745194259511492,0.12467432885675668,0.2333933580477418,0.32982855741176204,0.3039491094802809,1.0,0.5802644690186154,-0.006297442468026053,0.7162562935883615,0.43715396118252386,-0.2479175109797544,0.038555344181260234,0.019427086295608027,-0.018347723873919405,0.046684421652917,-0.09184368684299009,-0.015409552767736751
HOMO_element,0.12046288360645022,0.08039991708405964,-0.1346458342666476,0.014844657262510564,0.242938023870364,-0.09962904198090544,0.4030390914968783,-0.07550864293319084,0.2804648362664526,-0.21840071330387242,0.044960450097782476,0.3681377445767586,-0.06683630480467785,0.3721299241577137,-0.17742305723567015,-0.24276906087190356,-0.10081131071490415,-0.12857607914973754,-0.1803793850589505,-0.30365090301076364,-0.15422216502306849,0.08380037001191584,-0.03380850092505692,0.03815915939315615,0.1478511097439132,0.5802644690186154,1.0,0.3858602866895714,0.5549026214026892,0.6827909135774438,-0.284578653331821,0.01170556342364312,0.057246209663497916,-0.07786791642523422,-0.027435270052712797,0.028252460893779845,0.05765629083481616
HOMO_energy,-0.09043175406372865,0.31473931885972506,-0.2511951964642601,0.1221217999517881,-0.12624066200998293,-0.0516982551250516,0.046038464546204,-0.09070113421385093,0.2924894354405994,0.12791686196764301,0.12425047204935544,0.2097576115706166,-0.14691244339123286,-0.07560053763426337,-0.17617432373407232,-0.08956661217896726,-0.3210691521121923,-0.5265448040164038,-0.20091829485544282,-0.3441123497758622,-0.12528407085249627,0.017338430309877778,-0.26092926630515484,-0.18137624505662986,-0.3234601827832472,-0.006297442468026053,0.3858602866895714,1.0,0.27683539700425197,0.08450696674766649,-0.2841374521611684,0.03381307746214086,0.011681192557633948,-0.06908788888164005,-0.03359585361899943,0.05397058496010059,0.023711372782469712
