,$Dp_b$,$F_b$,LUMO_character,$R_b$,$D_b$,$Nd_b$,$Ce_a$,LUMO_element,$Fi_b$,$(En)diff_{ab}$,$(En)diff_{cb}$,$o$,$y$
252,184.0,3,4,0.95,5.24,0,1.51,63,547.1,0.1100000000000001,1.3800000000000001,0.5163043478260869,0
210,162.0,3,1,0.9,4.47,1,1.51,12,600.0,0.09000000000000008,1.36,0.4891304347826087,1
288,57.8,5,2,0.54,2.7,0,0.67,34,577.5,0.3899999999999999,0.9399999999999997,0.27272727272727276,0
67,208.0,3,4,0.98,7.01,0,3.89,60,533.1,1.0600000000000003,2.3,0.7000000000000001,0
138,55.0,4,3,0.75,10.5,10,1.51,47,731.0,0.6199999999999999,1.51,0.5357142857142857,0
7,192.0,3,4,0.96,7.52,0,1.84,62,544.5,0.16999999999999993,2.27,0.6857142857142857,0
83,83.0,4,1,0.62,7.15,5,3.49,24,652.9,0.24,1.78,0.4428571428571429,0
99,83.0,4,3,0.62,7.15,5,5.31,23,652.9,0.030000000000000027,1.78,0.4428571428571429,0
23,55.0,4,3,0.61,8.86,7,4.44,27,760.4,0.030000000000000027,1.56,0.4357142857142857,0
232,57.8,5,2,0.54,2.7,0,1.51,16,577.5,0.30000000000000004,0.97,0.29347826086956524,0
84,87.0,4,3,0.79,6.11,3,4.63,23,650.9,0.27,1.81,0.5642857142857144,0
16,55.0,4,3,0.61,8.86,7,3.85,27,760.4,0.1299999999999999,1.56,0.4357142857142857,0
246,55.0,4,2,0.61,8.86,7,4.44,16,760.4,0.030000000000000027,0.7000000000000002,0.33152173913043476,0
307,162.0,3,1,0.9,4.47,1,1.35,30,600.0,0.42999999999999994,1.3299999999999998,0.4545454545454546,1
80,162.0,3,4,0.9,4.47,1,1.86,63,600.0,0.020000000000000018,2.2199999999999998,0.6428571428571429,0
150,46.5,4,3,0.54,8.96,10,4.37,29,745.5,0.6799999999999999,1.54,0.3857142857142858,0
231,62.0,4,2,0.62,7.87,6,1.63,16,762.5,0.8500000000000001,0.75,0.33695652173913043,0
172,97.0,3,1,0.75,2.99,1,1.35,30,633.1,0.2899999999999998,1.22,0.4076086956521739,1
31,87.0,4,3,0.69,10.2,5,1.84,42,684.3,1.1600000000000001,1.2799999999999998,0.4928571428571428,1
