iter	Passed	Remaining
710	1256	510
711	1258	508
712	1259	507
713	1261	505
714	1263	503
715	1265	502
716	1267	500
717	1269	498
718	1270	496
719	1272	494
720	1274	493
721	1276	491
722	1278	489
723	1279	487
724	1281	486
725	1283	484
726	1285	482
727	1286	480
728	1288	479
729	1291	477
730	1292	475
731	1294	473
732	1296	472
733	1297	470
734	1299	468
735	1301	466
736	1303	465
737	1304	463
738	1306	461
739	1308	459
740	1310	457
741	1312	456
742	1313	454
743	1315	452
744	1317	450
745	1319	449
746	1321	447
747	1322	445
748	1324	443
749	1326	442
750	1327	440
751	1329	438
752	1331	436
753	1332	434
754	1334	433
755	1336	431
756	1338	429
757	1340	427
758	1342	426
759	1344	424
760	1346	422
761	1347	421
762	1349	419
763	1351	417
764	1353	415
765	1355	414
766	1357	412
767	1358	410
768	1360	408
769	1362	406
770	1364	405
771	1366	403
772	1368	401
773	1370	400
774	1372	398
775	1373	396
776	1375	394
777	1377	393
778	1379	391
779	1380	389
780	1382	387
781	1384	385
782	1385	384
783	1387	382
784	1389	380
785	1391	378
786	1392	376
787	1394	375
788	1396	373
789	1398	371
790	1400	369
791	1401	368
792	1403	366
793	1405	364
794	1407	362
795	1409	361
796	1410	359
797	1412	357
798	1414	355
799	1416	354
800	1418	352
801	1420	350
802	1421	348
803	1423	347
804	1425	345
805	1427	343
806	1428	341
807	1430	339
808	1432	338
809	1433	336
810	1435	334
811	1437	332
812	1438	330
813	1440	329
814	1441	327
815	1443	325
816	1445	323
817	1447	321
818	1449	320
819	1451	318
820	1453	316
821	1454	315
822	1456	313
823	1458	311
824	1460	309
825	1462	308
826	1464	306
827	1466	304
828	1468	302
829	1470	301
830	1472	299
831	1473	297
832	1475	295
833	1477	294
834	1479	292
835	1480	290
836	1482	288
837	1484	286
838	1485	285
839	1487	283
840	1489	281
841	1491	279
842	1493	278
843	1494	276
844	1496	274
845	1498	272
846	1499	270
847	1501	269
848	1503	267
849	1505	265
850	1507	263
851	1509	262
852	1510	260
853	1512	258
854	1514	256
